eol -> que (0.40), la (0.37), el (0.32), canaria… (0.30), no (0.29), acuerdo (0.29), l (0.28), quedar (0.28), ofrezco (0.28), de (0.28)
igualdad -> fraternizábamos (0.99), ritmos (0.99), azar (0.94), cureñas (0.90), fiel (0.83), cuentagotas (0.82), resonando (0.79), puro (0.76), manantial (0.75), perro (0.73)
ritmos -> igualdad (0.99), azar (0.97), fraternizábamos (0.97), cureñas (0.94), resonando (0.84), fiel (0.82), cuentagotas (0.75), anuncie (0.74), poema (0.73), puro (0.73)
azar -> cureñas (0.99), ritmos (0.97), igualdad (0.94), resonando (0.91), fraternizábamos (0.91), poema (0.80), fiel (0.76), memoría (0.72), anuncie (0.71), echaba (0.70)
cureñas -> azar (0.99), resonando (0.95), ritmos (0.94), igualdad (0.90), fraternizábamos (0.86), poema (0.85), echaba (0.75), fiel (0.72), atrás (0.72), mirón (0.70)
resonando -> cureñas (0.95), azar (0.91), poema (0.90), echaba (0.90), ritmos (0.84), igualdad (0.79), fraternizábamos (0.76), atrás (0.74), innoble (0.73), mono (0.73)
echaba -> resonando (0.90), despertaba (0.87), descanso (0.84), poema (0.83), compartíamos (0.78), cureñas (0.75), dormir (0.73), último (0.72), mono (0.72), innoble (0.71)
despertaba -> compartíamos (0.98), ambos (0.92), descanso (0.87), echaba (0.87), dábamos (0.83), presencia (0.79), muestras (0.74), jobo (0.71), divino (0.71), presentir (0.70)
compartíamos -> despertaba (0.98), ambos (0.97), dábamos (0.90), presencia (0.86), descanso (0.83), echaba (0.78), muestras (0.75), presentir (0.75), divino (0.75), jobo (0.73)
sigan -> cayendo (0.99), energía (0.89), rabias (0.88), pedazos (0.87), berlín (0.80), tuercen (0.79), alegra (0.73), aguja (0.69), esfuman (0.69), tardes (0.68)
rabias -> cayendo (0.88), sigan (0.88), energía (0.77), alcanzo (0.77), muro (0.77), pedazos (0.77), alumbras (0.75), tеngo (0.75), tuercen (0.73), ofreces (0.70)
tinerfeña -> triunfal (0.90), drago (0.85), caracola (0.81), esmeralda (0.81), atlántida (0.80), balcón (0.79), imperial (0.79), estela (0.79), bienestar (0.77), posada (0.76)
alcanza -> masa (0.82), confunde (0.81), balbucea (0.78), espérame (0.75), volveré (0.74), mente (0.74), piedad (0.72), belleza (0.72), cayó (0.70), trampa (0.70)
diferentes -> ambiente (0.94), entender (0.91), formas (0.84), consola (0.84), not (0.82), gitanos (0.80), why (0.77), djavan (0.73), bar (0.71), chino (0.68)
ambiente -> not (0.96), diferentes (0.94), why (0.93), entender (0.89), copas (0.86), sirviendo (0.82), bodas (0.79), bar (0.78), patrabajar (0.77), mirón (0.77)
not -> why (0.99), copas (0.96), ambiente (0.96), sirviendo (0.93), patrabajar (0.89), viste (0.86), bodas (0.82), diferentes (0.82), carmen (0.81), mirón (0.81)
why -> not (0.99), copas (0.98), sirviendo (0.96), ambiente (0.93), patrabajar (0.93), viste (0.89), carmen (0.85), bodas (0.82), mirón (0.81), innoble (0.81)
copas -> sirviendo (0.99), why (0.98), patrabajar (0.98), not (0.96), viste (0.95), carmen (0.92), ambiente (0.86), dirhanеdu (0.80), haruvici (0.78), bodas (0.78)
sirviendo -> patrabajar (0.99), copas (0.99), viste (0.98), why (0.96), carmen (0.95), not (0.93), ambiente (0.82), dirhanеdu (0.82), haruvici (0.79), demasiani (0.78)
patrabajar -> viste (0.99), sirviendo (0.99), copas (0.98), carmen (0.97), why (0.93), not (0.89), dirhanеdu (0.82), croché (0.80), ambiente (0.77), nevera (0.77)
viste -> patrabajar (0.99), carmen (0.99), sirviendo (0.98), copas (0.95), why (0.89), not (0.86), croché (0.83), dirhanеdu (0.81), portera (0.79), nevera (0.78)
carmen -> viste (0.99), patrabajar (0.97), sirviendo (0.95), copas (0.92), croché (0.85), why (0.85), portera (0.82), not (0.81), nevera (0.81), dirhanеdu (0.79)
axit -> extinguieron (0.88), guaicaipuro (0.87), hautacuperche (0.87), bentejuí (0.87), tupacamaru (0.87), tinguaro (0.86), sandino (0.83), tanausú (0.83), huérfanos (0.81), tanaga (0.81)
nevera -> еmpezar (0.98), chino (0.94), carmen (0.81), comer (0.79), viste (0.78), patrabajar (0.77), sirviendo (0.76), copas (0.75), empezar (0.75), mеsa (0.75)
chino -> еmpezar (0.97), nevera (0.94), diez (0.81), despertador (0.81), busco (0.80), empezar (0.79), ambiente (0.74), ayudan (0.73), not (0.73), why (0.72)
despertador -> japonés (0.94), camarero (0.84), maldito (0.84), chino (0.81), еmpezar (0.75), diez (0.73), según (0.73), nevera (0.71), compro (0.70), dеspués (0.69)
japonés -> camarero (0.97), despertador (0.94), maldito (0.86), ron (0.82), roll (0.80), and (0.79), rock (0.76), según (0.75), bulerías (0.74), sirven (0.73)
camarero -> japonés (0.97), roll (0.89), and (0.88), ron (0.87), despertador (0.84), rock (0.84), maldito (0.82), bulerías (0.80), sirven (0.80), según (0.76)
roll -> and (1.00), rock (0.98), bulerías (0.95), camarero (0.89), sirven (0.85), japonés (0.80), ron (0.78), candela (0.72), king (0.72), lumumba (0.71)
and -> roll (1.00), rock (0.99), bulerías (0.97), camarero (0.88), sirven (0.84), japonés (0.79), ron (0.74), gitanos (0.73), swing (0.73), king (0.72)
rock -> and (0.99), bulerías (0.99), roll (0.98), camarero (0.84), sirven (0.83), gitanos (0.79), swing (0.77), japonés (0.76), izquierda (0.72), king (0.72)
bulerías -> rock (0.99), and (0.97), roll (0.95), gitanos (0.86), sirven (0.81), swing (0.81), camarero (0.80), japonés (0.74), buenas (0.71), vais (0.71)
pasé -> yesterday (0.94), encendió (0.85), llegué (0.85), oí (0.80), 63 (0.79), alegrarme (0.73), culpable (0.70), descargue (0.70), estaremos (0.70), pleno (0.69)
imaginas -> mentira (0.83), canaria… (0.76), existe (0.75), conducen (0.73), sombreados (0.73), escapa (0.72), rica (0.71), quiéreme (0.70), dicho (0.69), enfrenté (0.68)
habías -> estabas (0.85), estar (0.84), dóndе (0.79), vine (0.78), dondе (0.77), caramba (0.76), enfrenté (0.75), crié (0.75), carnaval (0.72), pierrot (0.72)
calidad -> periodista (0.86), bueno (0.84), vocero (0.83), pisa (0.82), volvamos (0.81), teta (0.81), marginalidad (0.80), divertido (0.80), negros (0.80), compay (0.80)
pregonando -> resuenen (0.78), gritos (0.71), caminando (0.70), balbucea (0.69), defender (0.69), utiteroygratrá (0.68), verla (0.68), devolvimos (0.67), invisible (0.67), antigüa (0.66)
sevan -> repican (0.97), echó (0.88), promesa (0.82), ana (0.80), ademanes (0.80), torna (0.79), tragó (0.78), barca (0.77), fuertes (0.77), surcan (0.77)
foto -> almanaque (0.90), huecos (0.88), decrece (0.87), rebosan (0.84), copla (0.78), hallar (0.78), carnada (0.75), come (0.75), miro (0.74), oooh (0.74)
crucifijo -> controlar (0.91), revivo (0.90), grita (0.88), hallar (0.87), toma (0.79), rebosan (0.78), señal (0.77), huecos (0.74), escribistes (0.69), llevabas (0.69)
revivo -> crucifijo (0.90), grita (0.83), señal (0.82), latidos (0.77), controlar (0.77), diste (0.75), verdades (0.73), escribistes (0.70), hallar (0.70), pasinal (0.66)
negrito -> barrios (0.95), muchacho (0.85), denuncia (0.79), bailaba (0.76), rap (0.76), marginalidad (0.74), legado (0.73), vocero (0.73), periodista (0.73), divertir (0.72)
vocero -> periodista (0.99), marginalidad (0.94), denuncia (0.85), calidad (0.83), volvamos (0.81), bueno (0.81), rap (0.79), bailaba (0.79), barrios (0.76), duras (0.75)
periodista -> vocero (0.99), marginalidad (0.95), calidad (0.86), denuncia (0.85), bueno (0.83), volvamos (0.83), bailaba (0.79), rap (0.79), compay (0.76), apúntate (0.76)
hagámosle -> honor (0.99), carnet (0.94), divertido (0.87), bailemos (0.78), identidad (0.73), escuelas (0.72), creer (0.72), diciendo (0.71), olvidéis (0.70), ajuar (0.70)
envoltura -> celofán (1.00), rapadura (0.90), pones (0.84), rap (0.84), duras (0.79), bailaba (0.77), volvamos (0.77), convierte (0.77), carnet (0.76), balón (0.75)
honor -> hagámosle (0.99), carnet (0.97), divertido (0.84), identidad (0.77), bailemos (0.73), boba (0.71), escribe (0.71), coje (0.71), creer (0.71), reojo (0.70)
carnet -> honor (0.97), hagámosle (0.94), identidad (0.81), boba (0.80), coje (0.79), convierte (0.78), celofán (0.78), divertido (0.78), envoltura (0.76), rapadura (0.75)
boba -> coje (0.99), convierte (0.97), tipo (0.81), moda (0.80), volvamos (0.80), carnet (0.80), cosa (0.79), rapadura (0.79), ayúdame (0.77), balón (0.77)
coje -> boba (0.99), convierte (0.98), volvamos (0.83), tipo (0.82), moda (0.82), carnet (0.79), cosa (0.78), rapadura (0.78), balón (0.77), ayúdame (0.76)
convierte -> coje (0.98), boba (0.97), volvamos (0.89), moda (0.86), tipo (0.81), carnet (0.78), balón (0.78), celofán (0.78), rapadura (0.78), envoltura (0.77)
caballo -> esfuman (0.87), muchachos (0.86), cuida (0.84), falte (0.84), mueren (0.82), aguja (0.82), flaco (0.82), tartanero (0.78), tartana (0.73), ny (0.73)
denuncia -> marginalidad (0.95), duro (0.85), vocero (0.85), periodista (0.85), cuello (0.84), rap (0.83), duras (0.79), negrito (0.79), barrios (0.78), legado (0.77)
celofán -> envoltura (1.00), rapadura (0.90), pones (0.86), rap (0.83), duras (0.79), carnet (0.78), volvamos (0.78), convierte (0.78), bailaba (0.77), balón (0.77)
gitanos -> bulerías (0.86), diferentes (0.80), rock (0.79), swing (0.78), marchitó (0.74), and (0.73), gusta (0.73), abril (0.72), entender (0.72), ambiente (0.71)
enero -> llenaba (0.80), pared (0.76), marchitó (0.75), crepúsculo (0.73), plaga (0.71), soñadora (0.67), quеría (0.67), llanos (0.66), inglesa (0.66), susurrando (0.66)
croché -> portera (0.98), metros (0.94), ascensor (0.93), portal (0.89), carmen (0.85), cuelga (0.85), viste (0.83), patrabajar (0.80), escudilla (0.80), plaga (0.78)
estires -> encojas (0.99), rogares (0.96), parrales (0.85), repásatе (0.82), andrés (0.82), racimos (0.81), carburador (0.81), hagas (0.81), repásate (0.81), pretendido (0.81)
coche -> arranca (0.99), echele (0.97), tinto (0.91), pirata (0.82), bebí (0.76), garrafón (0.76), único (0.74), chocolatina (0.72), inglesa (0.72), vicio (0.71)
inglesa -> soñadora (1.00), quería (0.97), quеría (0.92), arranca (0.79), murieras (0.72), coche (0.72), pared (0.69), horas (0.69), marchitó (0.68), echele (0.68)
soñadora -> inglesa (1.00), quería (0.98), quеría (0.94), arranca (0.76), horas (0.71), murieras (0.70), coche (0.68), pared (0.68), lejano (0.68), marchitó (0.68)
quería -> soñadora (0.98), quеría (0.97), inglesa (0.97), horas (0.78), arranca (0.70), lejano (0.68), fuе (0.67), infancia (0.67), cayeron (0.66), garajonay (0.66)
apartas -> jugaba (0.92), prenda (0.89), arguineguín (0.86), ahogue (0.80), adiós (0.78), solito (0.76), engaña (0.75), dulcemente (0.73), heredando (0.73), brotan (0.72)
arguineguín -> solito (0.94), aparto (0.89), jugaba (0.87), apartas (0.86), ahogue (0.82), dulcemente (0.76), “ascore” (0.75), conejera (0.73), prenda (0.73), amasa (0.72)
brezal -> órganos (0.91), cedro (0.89), torna (0.83), basalto (0.83), apuran (0.81), ramas (0.78), sevan (0.75), yerbabuena (0.75), mirto (0.75), echó (0.74)
desnudos -> marineros (0.88), hippies (0.87), describiendo (0.86), barbudos (0.85), sorprender (0.78), apuran (0.77), bentejuí (0.76), hautacuperche (0.75), ucanca (0.74), bailan (0.74)
encojas -> estires (0.99), rogares (0.98), hagas (0.86), parrales (0.85), pretendido (0.84), racimos (0.83), andrés (0.81), movidos (0.81), repásatе (0.80), carburador (0.80)
belingo -> pirata (0.96), pal (0.89), echele (0.82), pregonan (0.76), caparazón (0.75), mazapán (0.74), viajeros (0.74), océano (0.74), puеs (0.72), pintadas (0.72)
rogares -> encojas (0.98), estires (0.96), hagas (0.87), pretendido (0.84), parrales (0.83), andrés (0.82), racimos (0.82), repásate (0.82), carburador (0.81), repásatе (0.81)
sequita -> jornal (0.89), agüita (0.88), rama (0.83), quitan (0.82), alegra (0.76), aguardando (0.75), sonámbulas (0.74), año (0.74), bailando (0.73), adormece (0.73)
bailan -> extraños (0.86), hippies (0.86), vestidas (0.85), marineros (0.79), barbudos (0.75), desnudos (0.74), lcielo (0.70), mujeres (0.70), magnolias (0.70), dan (0.70)
pa´l -> rian (0.99), jinco (0.97), english (0.88), triquitraca (0.86), vegueta (0.85), speak (0.83), triquitrá (0.83), papas (0.83), lunes (0.82), kilo´ (0.82)
robaron -> pertenece (0.70), abrazarlo (0.69), vuelve (0.69), pequeña (0.66), bautizar (0.66), ancho (0.66), sereno (0.65), asustando (0.65), canarios (0.65), pusiera (0.65)
trampa -> piedad (0.98), belleza (0.93), seguí (0.88), llamando (0.87), cayó (0.86), murmura (0.85), zancadillas (0.85), mercromina (0.85), ombligo (0.84), uhhhh (0.83)
piedad -> trampa (0.98), belleza (0.93), seguí (0.89), llamando (0.89), murmura (0.89), embrujado (0.85), cayó (0.85), zancadillas (0.84), mercromina (0.84), ombligo (0.84)
embrujado -> volveré (0.93), espérame (0.88), piedad (0.85), belleza (0.82), trampa (0.81), anaga (0.78), murmura (0.78), magia (0.76), confunde (0.76), alcancen (0.76)
echele -> coche (0.97), arranca (0.93), pirata (0.92), tinto (0.91), belingo (0.82), bebí (0.75), garrafón (0.75), milano (0.73), pal (0.72), pórtate (0.72)
año -> aguardando (0.92), adormece (0.92), deseo (0.88), 90 (0.82), resaca (0.78), girar (0.77), encuentra (0.76), sequita (0.74), jornal (0.74), despide (0.71)
portera -> ascensor (0.98), croché (0.98), metros (0.89), portal (0.84), carmen (0.82), cuelga (0.81), viste (0.79), escudilla (0.79), piso (0.77), tren (0.76)
concienzudamente -> ultime (0.99), barra (0.90), déjala (0.90), arcoiris (0.88), еntrecortado (0.86), introducirse (0.84), suavemente (0.78), orgullosa (0.76), brillo (0.75), plumazo (0.74)
ascensor -> portera (0.98), croché (0.93), metros (0.84), tren (0.82), piso (0.82), vías (0.80), portal (0.79), escudilla (0.77), carmen (0.77), cuelga (0.76)
vías -> 53 (0.92), atocha (0.90), tren (0.85), ascensor (0.80), crié (0.76), balcón (0.75), compuesta (0.73), piso (0.73), portera (0.73), morenitaa (0.71)
voluntad -> ajeno (0.91), dueño (0.85), mío (0.79), marcanto (0.79), pautas (0.78), dejen (0.76), olvides (0.75), captar (0.75), pude (0.73), alcancen (0.72)
pude -> entenderlo (0.85), patita (0.74), voluntad (0.73), pautas (0.71), recrear (0.71), velando (0.71), silencien (0.71), marcanto (0.70), dueño (0.69), dijiste (0.69)
olvidara -> culpa (0.90), tendrá (0.89), olvides (0.76), duerma (0.72), nodriza (0.72), acaso (0.72), barbuzano (0.71), gano (0.71), importan (0.71), enamore (0.71)
olvides -> mío (0.77), olvidara (0.76), voluntad (0.75), olvido (0.75), tuviera (0.75), adoras (0.72), daño (0.71), extravió (0.71), marcanto (0.71), repetirlo (0.70)
cisco -> esconda (0.89), plumazo (0.89), barra (0.88), sangras (0.81), mercromina (0.77), zancadillas (0.77), tarareo (0.75), arcoiris (0.75), llamando (0.75), seguí (0.75)
ultime -> concienzudamente (0.99), arcoiris (0.91), barra (0.90), еntrecortado (0.90), déjala (0.86), introducirse (0.80), orgullosa (0.79), brillo (0.78), plumazo (0.75), pesadilla (0.73)
desgraciado -> paciencia (0.87), cuna (0.82), lloréis (0.76), nace (0.75), comienza (0.74), caí (0.71), pautas (0.70), marcanto (0.68), avistar (0.68), míos (0.67)
quiéreme -> puedas (0.84), diablo (0.78), reojo (0.77), ajuar (0.76), pesa (0.73), pedal (0.73), rumbos (0.73), mira (0.73), extrañe (0.72), negar (0.72)
paciencia -> lloréis (0.96), desgraciado (0.87), míos (0.85), lágrimas (0.79), tener (0.72), cuna (0.69), escape (0.65), fregar (0.65), catre (0.65), rojos (0.64)
lloréis -> paciencia (0.96), míos (0.90), lágrimas (0.77), desgraciado (0.76), desechos (0.75), fregar (0.72), pobrecillo (0.72), catre (0.71), tener (0.71), biеn (0.71)
vestir -> desechos (0.95), tirate (0.78), visto (0.77), dinero (0.76), infeliz (0.75), pobre (0.75), platanero (0.74), agricultor (0.74), torna (0.74), pretendido (0.72)
infeliz -> desprecies (0.99), dinero (0.89), rota (0.82), vestir (0.75), presiento (0.71), sevan (0.71), tirate (0.71), tírate (0.69), duela (0.69), visto (0.69)
desprecies -> infeliz (0.99), dinero (0.87), rota (0.86), vestir (0.72), presiento (0.72), sevan (0.72), tirate (0.69), tírate (0.69), mordiendo (0.68), repican (0.68)
olvidarías -> rota (0.93), querías (0.84), dijiste (0.83), impaciente (0.78), pañales (0.77), chiquito (0.77), pasada (0.75), dе (0.75), lavando (0.74), inspiración (0.72)
querías -> dijiste (0.99), olvidarías (0.84), amada (0.81), recrear (0.78), impaciente (0.76), quemo (0.76), esté (0.76), quedar (0.75), acuerdo (0.74), pasion (0.73)
dijiste -> querías (0.99), olvidarías (0.83), amada (0.79), esté (0.79), recrear (0.78), quedar (0.77), acuerdo (0.76), quemo (0.76), impaciente (0.76), pasion (0.74)
escondidas -> sendas (0.86), brumas (0.82), surcan (0.82), alba (0.76), serena (0.76), corría (0.74), separó (0.73), salada (0.73), dejándome (0.72), tindaya (0.71)
pregunta -> inicio (0.87), comienzo (0.82), prеgunta (0.81), caso (0.80), esto (0.76), vete (0.74), precipicio (0.74), sucede (0.71), extranjera (0.70), andabas (0.70)
soñando -> olvidaste (0.92), usa (0.88), debajo (0.87), soñaste (0.85), andabas (0.80), filme (0.79), cortas (0.78), gafas (0.75), andamos (0.75), haber (0.74)
sufrimos -> vueltos (0.97), forjada (0.96), felicidad (0.91), risas… (0.84), estos (0.83), tantas (0.77), tiernos (0.76), moon (0.76), días (0.75), on (0.74)
arrulla -> saranda (0.89), soñados (0.80), tafetanes (0.80), jameos (0.75), bordados (0.75), cinta (0.74), lazos (0.73), veredita (0.73), plazuelas (0.72), tindaya (0.72)
estaban -> dioses (0.96), sanan (0.93), definen (0.92), conforman (0.91), creencias (0.90), algunas (0.90), motivos (0.89), bosques (0.86), suman (0.81), restan (0.80)
reluce -> caballеro (0.93), luciera (0.90), acera (0.85), andar (0.83), zaguanes (0.81), atento (0.76), caño (0.74), cambo (0.73), escoro (0.73), patios (0.71)
luciera -> caballеro (0.99), reluce (0.90), sonriera (0.84), sombrеro (0.84), caño (0.83), cazo (0.81), lucero (0.78), labro (0.77), caballero (0.75), cigarros (0.74)
lucero -> sonriera (0.97), sombrеro (0.96), estampa (0.90), fina (0.86), pasea (0.83), cazo (0.79), luciera (0.78), suelto (0.77), doble (0.77), chanel (0.77)
tiernos -> risas… (0.98), árboles (0.86), forjada (0.86), habitan (0.81), sufrimos (0.76), vueltos (0.73), adentro (0.72), felicidad (0.71), moon (0.71), inventan (0.70)
risas… -> tiernos (0.98), forjada (0.94), sufrimos (0.84), árboles (0.81), vueltos (0.80), felicidad (0.76), habitan (0.75), moon (0.75), estos (0.74), the (0.73)
forjada -> sufrimos (0.96), risas… (0.94), vueltos (0.89), tiernos (0.86), estos (0.83), felicidad (0.83), moon (0.77), the (0.75), on (0.75), días (0.75)
vueltos -> felicidad (0.98), sufrimos (0.97), forjada (0.89), tantas (0.86), risas… (0.80), estos (0.77), moon (0.76), the (0.74), on (0.74), tiernos (0.73)
guardar -> gorda (0.76), estampa (0.75), fina (0.75), lucero (0.73), pasea (0.71), sombrеro (0.71), largo (0.71), preocupar (0.70), sonriera (0.69), debes (0.68)
felicidad -> vueltos (0.98), tantas (0.92), sufrimos (0.91), forjada (0.83), risas… (0.76), profundos (0.75), moon (0.74), abismos (0.73), bordar (0.71), tiernos (0.71)
quebrada -> aspiro (0.91), buscándote (0.86), ando (0.79), calles (0.78), encuentro (0.78), distancia (0.78), trozos (0.77), compartidos (0.76), seremos (0.72), estrеllas (0.69)
aspiro -> compartidos (0.93), quebrada (0.91), trozos (0.90), encuentro (0.81), nacieras (0.74), escucho (0.73), buscándote (0.72), ando (0.71), chocolatina (0.71), atento (0.69)
compartidos -> aspiro (0.93), trozos (0.91), puedes (0.82), nacieras (0.80), quebrada (0.76), habría (0.75), atento (0.74), limite (0.74), vivido (0.73), faltas (0.72)
limite -> cobrar (0.96), prеcio (0.94), factura (0.89), precio (0.84), adoro (0.83), puedes (0.83), ponles (0.80), lea (0.80), quierе (0.79), paciente (0.78)
cobrar -> prеcio (0.99), factura (0.97), limite (0.96), precio (0.89), quierе (0.85), adoro (0.81), ponles (0.78), puedes (0.78), normal (0.77), extrañe (0.77)
factura -> prеcio (0.98), cobrar (0.97), quierе (0.91), limite (0.89), precio (0.89), normal (0.77), puedes (0.76), extrañe (0.76), adoro (0.75), escucharla (0.75)
contarte -> calles (0.85), ganas (0.84), nuevas (0.80), quierе (0.77), busco (0.76), ayudan (0.74), chinos (0.72), adivinas (0.72), ando (0.69), iguales (0.69)
descubriendo -> generoso (0.79), llegaron (0.79), trozo (0.77), brillaba (0.74), aquello (0.74), indio (0.74), tonos (0.70), nombrando (0.69), descubrió (0.68), sanan (0.67)
inunda -> nata (0.97), cuchara (0.96), repleta (0.96), mezclada (0.96), domina (0.93), espanta (0.88), calma (0.87), vicio (0.85), único (0.80), sucede (0.77)
linda -> varillas (0.87), canelo (0.82), tartana (0.81), triqui (0.79), píntala (0.77), triquitraaca (0.77), arre (0.77), triquitraca (0.76), cuerdo” (0.74), triquitrá (0.72)
primo -> prima (0.95), indispensable (0.89), condimento (0.89), gourmet (0.89), jareas (0.89), manuela (0.87), glotón (0.85), rica (0.84), rociaría (0.82), picón (0.81)
precio -> cobrar (0.89), factura (0.89), prеcio (0.88), limite (0.84), quierе (0.82), tеngo (0.78), ofreces (0.78), cuántos (0.76), matar (0.75), esclavos (0.75)
comunica -> sembrando (0.78), hermoso (0.74), divisa (0.74), latidos (0.74), quеbrada (0.74), carguita (0.72), til (0.72), anochecida (0.71), abuelos (0.70), tenerife (0.70)
media -> vara (0.99), usan (0.97), varas (0.90), cachimba (0.86), manuela (0.84), bruma (0.79), airados (0.78), perfiles (0.78), arrogancia (0.77), cogotera (0.76)
vara -> media (0.99), usan (0.99), varas (0.94), manuela (0.89), cachimba (0.87), prima (0.80), airados (0.77), perfiles (0.77), arrogancia (0.76), bruma (0.76)
usan -> vara (0.99), media (0.97), varas (0.97), manuela (0.93), cachimba (0.88), prima (0.85), airados (0.75), perfiles (0.74), secó (0.73), arrogancia (0.73)
varas -> manuela (0.99), usan (0.97), vara (0.94), prima (0.94), media (0.90), cachimba (0.87), primo (0.81), maría (0.76), secó (0.74), mocanes (0.74)
manuela -> varas (0.99), prima (0.98), usan (0.93), vara (0.89), primo (0.87), media (0.84), cachimba (0.84), maría (0.80), mocanes (0.75), secó (0.75)
dejemos -> corramos (0.90), dibujado (0.86), innombrable (0.86), hermosura (0.86), compañera (0.85), derrama (0.85), marchar (0.81), palpitando (0.75), tardío (0.73), volcán (0.71)
jareas -> primo (0.89), condimento (0.81), indispensable (0.80), gourmet (0.79), rica (0.77), rociaría (0.77), prima (0.77), mojo (0.76), buen (0.76), picón (0.75)
cantarlas -> alumbré (0.92), ellas (0.83), folías (0.81), duelo (0.79), aprendí (0.79), golondrinas (0.78), agonía (0.78), quiebra (0.77), cantores (0.77), llevan (0.76)
acaricio -> dibujo (0.93), volcará (0.92), feroz (0.90), grandeza (0.83), espiga (0.82), angustias (0.75), haima (0.73), cuchillada (0.72), tindouf (0.72), abrazas (0.69)
planta -> regala (0.86), cría (0.82), demás (0.77), remueve (0.77), fín (0.76), cantarlas (0.75), ilusiones (0.75), alegrense (0.74), gocen (0.72), levanntense (0.71)
escuchando -> contemplar (0.88), echado (0.80), atalaya (0.77), entraron (0.74), siroco (0.69), isleño (0.68), chocolatinas (0.66), sabina (0.66), casitas (0.65), salvochea (0.65)
llego -> delirio (0.85), escapa (0.83), vendido (0.83), estanco (0.79), emito (0.73), pierdes (0.72), s (0.67), rugido (0.66), enfrenté (0.66), trajo (0.65)
decido -> descargue (0.84), envía (0.82), rugido (0.80), alegrarme (0.78), abrir (0.77), cerrado (0.76), emito (0.75), deprisa (0.72), recodo (0.70), estanco (0.69)
pinta -> deprisa (0.80), cabral (0.72), salimos (0.72), ateneo (0.70), crosita (0.70), heroína (0.70), ramos (0.69), fraternizábamos (0.68), fiel (0.68), igualdad (0.67)
irás -> alejas (0.95), parar (0.83), echar (0.77), dónde (0.74), conciencia (0.72), aprendiendo (0.71), reafirmó (0.70), besamos (0.70), manicomio (0.69), encontrar (0.69)
alumbré -> cantarlas (0.92), ellas (0.86), aprendí (0.84), quererte (0.82), agonía (0.77), escucharlas (0.77), folías (0.75), golondrinas (0.74), quiebra (0.74), cantores (0.73)
“la -> volvеrás (0.93), aduana (0.82), préstamos (0.77), podrá (0.74), cuerdo” (0.72), evolución (0.71), pensarán (0.70), raiz (0.69), aytiriririnainai (0.69), pierde (0.68)
garaldea -> dantza (0.87), nombró (0.85), antzinatiko (0.84), común (0.82), egiten (0.80), euskaldunak (0.77), habitaron (0.73), ancestral (0.72), guantxe (0.69), tuineje (0.68)
marchando -> despistado (0.94), salto (0.88), woody (0.85), allen (0.82), andamos (0.79), borracho (0.79), firmeza (0.76), hablador (0.76), frio (0.74), entré… (0.74)
proas -> atuneras (0.97), barquillas (0.97), barquillo (0.91), américas (0.84), valientes (0.74), tenemos (0.74), cedemos (0.74), trastienda (0.73), habitaron (0.72), secretos (0.72)
batea -> libro (0.99), escudilla (0.87), galdós (0.87), barnizar (0.83), camisa (0.81), preparada (0.80), venezuela (0.79), gastada (0.76), quitarle (0.76), pintar (0.76)
libro -> batea (0.99), galdós (0.89), escudilla (0.85), camisa (0.84), barnizar (0.81), preparada (0.78), venezuela (0.78), pintar (0.75), pensándolo (0.75), quitarle (0.75)
general -> hombro (0.85), sacho (0.82), esperé (0.82), platanal (0.79), desciendo (0.74), probar (0.71), embustero (0.70), humano (0.70), halla (0.69), recodo (0.69)
escoro -> cambo (0.90), sacho (0.87), camban (0.84), hombro (0.83), risco (0.81), caño (0.79), desciendo (0.77), escopeta (0.75), platanal (0.75), patas (0.75)
patas -> camban (0.83), viajes (0.75), escoro (0.75), millo (0.72), compartimos (0.70), distintos (0.69), sacho (0.69), sudores (0.68), toalla (0.68), triquitrá (0.67)
abrazar -> gozo (0.85), alonga (0.83), barcos (0.82), pesar (0.78), brazo (0.74), siembra (0.71), salvaremos (0.71), cabemos (0.71), ansina (0.69), mismos (0.69)
enterrar -> entierra (0.95), parejas (0.92), sеmbrar (0.92), iguales (0.86), pеrinal (0.83), perenal (0.80), cho (0.77), sembrar (0.77), morir (0.75), igual (0.66)
sembrar -> parejas (0.78), pеqueña (0.77), entierra (0.77), enterrar (0.77), modestilla (0.77), sеmbrar (0.69), colombina (0.69), perenal (0.69), demasiados (0.68), pancho (0.67)
cho -> pеrinal (0.94), perenal (0.92), parejas (0.87), según (0.87), iguales (0.85), enterrar (0.77), decía (0.76), entierra (0.73), marcando (0.73), avento (0.72)
preparada -> venezuela (0.93), habana (0.87), escudilla (0.85), batea (0.80), libro (0.78), fotos (0.76), metros (0.75), portal (0.73), maleta (0.72), cuelga (0.71)
trabajando -> dirá (0.83), pesada (0.82), fenecer (0.80), crezcan (0.80), alivio (0.68), verter (0.67), retenerte (0.67), fecunda (0.66), ciegos (0.66), norteño (0.65)
sendas -> escondidas (0.86), surcan (0.86), heredé (0.83), hermanando (0.76), van (0.74), áfrica (0.74), alimentadas (0.73), borrando (0.71), unirán (0.71), riscales (0.71)
resuena -> prеgona (0.96), pregona (0.96), surcan (0.79), cumbre (0.78), cumbrе (0.75), aroman (0.74), lucharon (0.74), unirán (0.74), niеve (0.73), utiteroygratrá (0.72)
